ticker,fiscal_year,period_type,statement_type,metric_id,value,unit,document_title,page_number,table_name,extracted_text,extraction_method,verified_by,verified_at
DVN,2025,FY,balance_sheet,fixed_assets.ending,220.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,47,,II. Tài sản cố định,pdf_table,,
DVN,2025,FY,balance_sheet,total_assets.ending,270.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,47,,TỔNG CỘNG TÀI SẢN,pdf_table,,
DVN,2025,FY,balance_sheet,current_assets.ending,100.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,47,,A. TÀI SẢN NGẮN HẠN,pdf_table,,
DVN,2025,FY,balance_sheet,cash_and_equivalents.ending,110.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,47,,I. Tiền và các khoản tương đương tiền,pdf_table,,
DVN,2025,FY,balance_sheet,accounts_receivable.ending,130.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,47,,III. Các khoản phải thu ngắn hạn,pdf_table,,
DVN,2025,FY,balance_sheet,inventory.ending,140.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,47,,IV. Hàng tồn kho,pdf_table,,
DVN,2025,FY,balance_sheet,total_liabilities.ending,300.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,C. NỢ PHẢI TRẢ,pdf_table,,
DVN,2025,FY,balance_sheet,short_term_debt.ending,320.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,8. Vay ngắn hạn,pdf_table,,
DVN,2025,FY,balance_sheet,long_term_debt.ending,338.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,3. Vay dài hạn,pdf_table,,
DVN,2025,FY,balance_sheet,revenue.net,1.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,1. Doanh thu bán hàng và cung cấp dịch vụ,pdf_table,,
DVN,2025,FY,balance_sheet,cogs.total,11.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,4. Giá vốn hàng bán và dịch vụ cung cấp,pdf_table,,
DVN,2025,FY,balance_sheet,gross_profit.total,20.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,pdf_table,,
DVN,2025,FY,balance_sheet,financial_income.total,21.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,6. Doanh thu hoạt động tài chính,pdf_table,,
DVN,2025,FY,balance_sheet,financial_expense.total,22.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,7. Chi phí tài chính,pdf_table,,
DVN,2025,FY,balance_sheet,interest_expense.total,23.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,- Trong đó: Chi phí lãi vay,pdf_table,,
DVN,2025,FY,balance_sheet,selling_expense.total,25.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,9. Chi phí bán hàng,pdf_table,,
DVN,2025,FY,balance_sheet,admin_expense.total,26.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,10. Chi phí quản lý doanh nghiệp,pdf_table,,
DVN,2025,FY,balance_sheet,operating_profit.total,30.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,11. Lợi nhuận thuần từ hoạt động kinh doanh,pdf_table,,
DVN,2025,FY,balance_sheet,profit_before_tax.total,50.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,15. Tổng lợi nhuận kế toán trước thuế,pdf_table,,
DVN,2025,FY,balance_sheet,net_income.total,60.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,pdf_table,,
DVN,2025,FY,balance_sheet,net_income.parent,61.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,48,,19. Lợi nhuận sau thuế công ty mẹ,pdf_table,,
DVN,2025,FY,balance_sheet,eps.basic,70.0,vnd,DVN FY2025 Annual Report / Audited Financial Statements,48,,21. Lãi cơ bản trên cổ phiếu,pdf_table,,
DVN,2025,FY,cash_flow_statement,profit_before_tax.total,1.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,49,,Lợi nhuận trước thuế,pdf_table,,
DVN,2025,FY,cash_flow_statement,depreciation.total,2.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,49,,"Khấu hao tài sản cố định hữu hình và bất động sản đầu tư, hao
mòn tài sản cố định vô hình và phân bổ tiền thuê đất trả trước",pdf_table,,
DVN,2025,FY,cash_flow_statement,interest_expense.total,6.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,49,,Chi phí lãi vay,pdf_table,,
DVN,2025,FY,cash_flow_statement,operating_profit.total,8.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,49,,"Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu
động",pdf_table,,
DVN,2025,FY,cash_flow_statement,inventory.ending,10.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,49,,(Tăng)/giảm hàng tồn kho,pdf_table,,
DVN,2025,FY,cash_flow_statement,fixed_assets.ending,21.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,49,,"Tiền chi để mua sắm, xây dựng tài sản cố định",pdf_table,,
DVN,2025,FY,cash_flow_statement,cash_and_equivalents.ending,60.0,vnd_bn,DVN FY2025 Annual Report / Audited Financial Statements,49,,Tiền và tương đương tiền đầu năm,pdf_table,,
